id,warehouse_name,warehouse_addr,warehouse_addr_gis,company_id,cdt,udt,remark
1, 东莞中心, 东莞市,113.746262-23.046237,16,2017-01-18 10:23:59,2017-01-18 10:23:59
2, 东莞塘厦, 东莞市,113.746262-23.046237,45,2003-09-03 18:02:25,2003-09-03 18:02:25
3, 东莞虎门, 东莞市,113.746262-23.046237,27,2011-01-28 04:13:30,2011-01-28 04:13:30
4, 临海杜桥, 台州市,121.428599-28.661378,35,2011-12-02 04:57:12,2011-12-02 04:57:12
5, 京南转运中心, 保定市,115.464804-38.874062,9,2007-05-25 11:15:12,2007-05-25 11:15:12
6, 佛山中心, 佛山市,113.122717-23.028762,6,2008-05-06 00:15:32,2008-05-06 00:15:32
7, 六安, 六安市,116.507676-31.752889,33,2000-06-18 11:30:45,2000-06-18 11:30:45
8, 六安独山, 六安市,116.507676-31.752889,10,2004-02-11 19:17:00,2004-02-11 19:17:00
9, 兰州中转, 兰州市,103.834249-36.06081,3,2002-12-14 11:07:09,2002-12-14 11:07:09
10, 兴义黄草二分部, 黔西南布依族苗族自治州,104.897971-25.08812,31,2004-11-28 22:14:39,2004-11-28 22:14:39
11, 兴义, 黔西南布依族苗族自治州,104.897971-25.08812,30,2003-05-17 08:24:55,2003-05-17 08:24:55
12, 凯里榕江县, 黔东南苗族侗族自治州,107.977488-26.583352,25,2016-01-25 00:22:10,2016-01-25 00:22:10
13, 南充中转站, 南充市,106.082974-30.795282,49,2005-10-23 05:22:26,2005-10-23 05:22:26
14, 南海狮山, 佛山市,113.122717-23.028762,39,2004-04-01 12:23:53,2004-04-01 12:23:53
15, 南阳中转, 南阳市,112.540918-32.999082,15,2019-03-10 21:42:49,2019-03-10 21:42:49
16, 合肥中转部, 合肥市,117.227308-31.82057,43,2015-06-21 12:34:00,2015-06-21 12:34:00
17, 吕梁临县, 吕梁市,111.134335-37.524366,17,2011-06-13 02:58:23,2011-06-13 02:58:23
18, 周口太康县, 周口市,114.649653-33.620357,1,2014-06-29 11:44:41,2014-06-29 11:44:41
19, 哈尔滨大成街, 哈尔滨市,126.535319-45.803131,46,2005-04-03 06:48:26,2005-04-03 06:48:26
20, 大竹, 达州市,107.468023-31.209572,5,2015-09-17 18:10:39,2015-09-17 18:10:39
21, 天津海泰分部, 天津市,117.201538-39.085294,13,2000-12-11 15:02:24,2000-12-11 15:02:24
22, 宁武凤凰镇, 忻州市,112.733538-38.41769,11,2004-06-20 12:50:34,2004-06-20 12:50:34
23, 宝鸡陈仓一部, 宝鸡市,107.14487-34.369315,12,2015-05-08 13:48:08,2015-05-08 13:48:08
24, 常熟中通快递直营十, 苏州市,120.619585-31.299379,2,2001-07-01 07:27:22,2001-07-01 07:27:22
25, 广州中心, 广州市,113.264385-23.129112,26,2018-09-01 12:48:28,2018-09-01 12:48:28
26, 开封县, 开封市,114.341447-34.797049,34,2010-02-18 20:10:12,2010-02-18 20:10:12
27, 忻州宁武, 忻州市,112.733538-38.41769,42,2005-08-20 18:22:29,2005-08-20 18:22:29
28, 成都中转, 成都市,104.066143-30.573095,36,2002-11-20 20:42:57,2002-11-20 20:42:57
29, 承德隆化县, 承德市,117.939152-40.976204,47,2017-07-01 01:34:00,2017-07-01 01:34:00
30, 昌邑岞山镇, 潍坊市,119.107078-36.70925,0,2016-11-25 04:05:56,2016-11-25 04:05:56
31, 枣阳太平镇, 襄阳市,112.144146-32.042426,40,2008-05-03 05:49:19,2008-05-03 05:49:19
32, 武昌南湖二分部, 武汉市,114.305215-30.592935,32,2006-12-11 08:12:22,2006-12-11 08:12:22
33, 武汉藏龙岛, 武汉市,114.305215-30.592935,29,2013-04-26 16:39:26,2013-04-26 16:39:26
34, 永州, 永州市,111.608019-26.434516,44,2004-08-21 12:15:27,2004-08-21 12:15:27
35, 沧州孟村县, 沧州市,116.857461-38.310582,7,2014-06-01 13:34:39,2014-06-01 13:34:39
36, 沧衡转运中心, 沧州市,116.857461-38.310582,24,2003-09-14 10:53:46,2003-09-14 10:53:46
37, 济南中转部, 济南市,117.120098-36.6512,4,2009-09-24 00:14:06,2009-09-24 00:14:06
38, 海港北港镇, 秦皇岛市,119.586579-39.942531,8,2014-06-09 02:24:52,2014-06-09 02:24:52
39, 淮北濉溪县, 淮北市,116.794664-33.971707,22,2014-04-17 01:42:51,2014-04-17 01:42:51
40, 深圳中心, 深圳市,114.085947-22.547,20,2014-08-03 20:49:30,2014-08-03 20:49:30
41, 温州瓯海西部, 温州市,120.672111-28.000575,48,2004-02-16 06:46:59,2004-02-16 06:46:59
42, 潍坊中转部, 潍坊市,119.107078-36.70925,37,2004-05-30 19:54:00,2004-05-30 19:54:00
43, 潍坊青州, 潍坊市,119.107078-36.70925,21,2015-11-18 02:06:48,2015-11-18 02:06:48
44, 瓯海巨溪南片, 温州市,120.672111-28.000575,28,2009-07-25 07:17:05,2009-07-25 07:17:05
45, 白城, 白城市,122.841114-45.619026,41,2010-12-29 12:43:37,2010-12-29 12:43:37
46, 石家庄, 石家庄市,114.514793-38.042225,38,2012-06-23 01:31:38,2012-06-23 01:31:38
47, 秦皇岛, 秦皇岛市,119.586579-39.942531,19,2008-02-01 07:22:04,2008-02-01 07:22:04
48, 聊城东阿县, 聊城市,115.980367-36.456013,23,2005-08-30 13:34:26,2005-08-30 13:34:26
49, 舒城杭埠镇, 六安市,116.507676-31.752889,14,2002-09-22 15:56:47,2002-09-22 15:56:47
50, 荆州中转部, 荆州市,112.23813-30.326857,18,2006-01-25 12:24:24,2006-01-25 12:24:24
51, 菏泽曹县, 菏泽市,115.469381-35.246531,46,2016-01-21 02:44:45,2016-01-21 02:44:45
52, 衡阳中转, 衡阳市,112.607693-26.900358,5,2012-09-04 19:11:36,2012-09-04 19:11:36
53, 襄樊, 襄阳市,112.144146-32.042426,13,2006-02-17 02:33:45,2006-02-17 02:33:45
54, 西峡县, 南阳市,112.540918-32.999082,11,2010-05-22 12:18:34,2010-05-22 12:18:34
55, 贵阳, 黔南布依族苗族自治州,107.517156-26.258219,12,2006-07-08 21:42:14,2006-07-08 21:42:14
56, 赣榆县, 连云港市,119.178821-34.600018,2,2016-06-03 09:12:09,2016-06-03 09:12:09
57, 连云港, 连云港市,119.178821-34.600018,26,2011-11-14 16:17:12,2011-11-14 16:17:12
58, 邢邯转运中心, 邢台市,114.508851-37.0682,3,2015-08-17 06:21:22,2015-08-17 06:21:22
59, 邯郸峰峰矿区, 邯郸市,114.490686-36.612273,31,2000-06-20 12:15:33,2000-06-20 12:15:33
60, 邵阳, 邵阳市,111.46923-27.237842,29,2018-06-29 00:51:58,2018-06-29 00:51:58
61, 郑州中转, 郑州市,113.625351-34.746303,44,2005-05-02 15:12:49,2005-05-02 15:12:49
62, 郑州高新区, 郑州市,113.625351-34.746303,7,2016-04-11 11:26:20,2016-04-11 11:26:20
63, 郴州永兴县, 郴州市,113.014718-25.77051,24,1999-12-26 00:01:57,1999-12-26 00:01:57
64, 重庆江津, 重庆市,106.550464-29.563761,4,2000-08-14 06:28:59,2000-08-14 06:28:59
65, 重庆, 重庆市,106.550464-29.563761,8,2000-11-18 09:03:12,2000-11-18 09:03:12
66, 长治城南分部, 长治市,113.113556-36.191112,22,2015-02-26 12:08:56,2015-02-26 12:08:56
67, 隆化县七家镇, 承德市,117.939152-40.976204,20,2010-05-08 01:08:46,2010-05-08 01:08:46
68, 南京中转部, 南京市,118.796623-32.059352,6,2000-04-02 03:22:39,2000-04-02 03:22:39
69, 南宫垂杨, 邢台市,114.508851-37.0682,33,2007-07-07 15:43:05,2007-07-07 15:43:05
70, 南昌中转部, 南昌市,115.857963-28.683016,10,2006-05-16 10:20:22,2006-05-16 10:20:22
71, 南通中转部, 南通市,120.864608-32.016212,3,2001-01-09 20:22:37,2001-01-09 20:22:37
72, 南阳石桥镇, 南阳市,112.540918-32.999082,31,2003-10-03 12:15:23,2003-10-03 12:15:23
73, 吉安遂川县, 吉安市,114.986373-27.111699,30,2016-08-01 10:09:58,2016-08-01 10:09:58
74, 吉林双辽, 四平市,124.370785-43.170344,25,2011-04-16 16:46:21,2011-04-16 16:46:21
75, 启东, 南通市,120.864608-32.016212,49,2005-08-15 03:10:04,2005-08-15 03:10:04
76, 哈尔滨中转, 哈尔滨市,126.535319-45.803131,39,2011-06-21 23:54:35,2011-06-21 23:54:35
77, 唐山中心, 唐山市,118.175393-39.635113,32,2001-11-11 02:08:14,2001-11-11 02:08:14
78, 大丰, 盐城市,120.139998-33.377631,29,2013-01-07 04:33:47,2013-01-07 04:33:47
79, 天津中转部, 天津市,117.201538-39.085294,44,2008-03-29 05:07:42,2008-03-29 05:07:42
80, 天津静海, 天津市,117.201538-39.085294,32,2002-11-10 13:24:26,2002-11-10 13:24:26
81, 太原中转, 太原市,112.549717-37.87046,29,2007-12-12 14:52:17,2007-12-12 14:52:17
82, 宝鸡, 宝鸡市,107.14487-34.369315,44,2002-12-01 19:26:39,2002-12-01 19:26:39
83, 常熟, 苏州市,120.619585-31.299379,32,2005-05-17 20:40:16,2005-05-17 20:40:16
84, 广德, 宣城市,118.757995-30.945667,29,2005-03-20 08:12:50,2005-03-20 08:12:50
85, 开封半坡店乡, 开封市,114.341447-34.797049,44,2019-06-21 02:37:34,2019-06-21 02:37:34
86, 张家口万全县, 张家口市,114.884091-40.811901,32,2019-08-27 14:17:30,2019-08-27 14:17:30
87, 恩施来凤县, 恩施土家族苗族自治州,109.48699-30.283114,29,2009-05-27 17:24:18,2009-05-27 17:24:18
88, 成都龙泉驿, 成都市,104.066143-30.573095,44,2003-08-08 20:47:30,2003-08-08 20:47:30
89, 抚州黎川县, 抚州市,116.358351-27.98385,32,2017-07-13 12:52:53,2017-07-13 12:52:53
90, 新乡中转, 新乡市,113.883991-35.302616,29,2009-06-25 22:58:12,2009-06-25 22:58:12
91, 曹县倪集乡, 菏泽市,115.469381-35.246531,44,2003-02-07 03:30:59,2003-02-07 03:30:59
92, 枣阳, 襄阳市,112.144146-32.042426,32,2016-11-01 11:06:22,2016-11-01 11:06:22
93, 武威, 武威市,102.634697-37.929996,29,2014-04-24 06:01:59,2014-04-24 06:01:59
94, 武汉中转部, 武汉市,114.305215-30.592935,44,2009-03-14 18:46:50,2009-03-14 18:46:50
95, 毕节金沙, 毕节市,105.28501-27.301693,32,2015-07-20 08:53:18,2015-07-20 08:53:18
96, 江油重华镇, 绵阳市,104.741722-31.46402,29,2011-08-08 22:42:59,2011-08-08 22:42:59
97, 沧州东光, 沧州市,116.857461-38.310582,44,2006-05-10 20:24:01,2006-05-10 20:24:01
98, 沧州黄骅市, 沧州市,116.857461-38.310582,32,2007-05-08 22:22:06,2007-05-08 22:22:06
99, 泰州中转部, 泰州市,119.924622-32.455809,29,2014-12-17 00:53:09,2014-12-17 00:53:09
100, 洪泽, 淮安市,119.021265-33.597506,44,2015-03-22 02:00:24,2015-03-22 02:00:24
101, 济宁中转部, 济宁市,116.587245-35.415393,32,2003-05-16 23:49:04,2003-05-16 23:49:04
102, 淮安中转, 淮安市,119.021265-33.597506,29,2013-07-26 14:15:37,2013-07-26 14:15:37
103, 深圳富民, 深圳市,114.085947-22.547,44,2016-06-22 12:28:09,2016-06-22 12:28:09
104, 北京顺义中心, 北京市顺义区高丽营镇顺于路9号,116.580856-40.134447,32,2017-07-29 03:26:55,2017-07-29 03:26:55
105, 温州中转部, 温州市,120.672111-28.000575,29,2009-02-24 07:28:18,2009-02-24 07:28:18
106, 漯河中转, 漯河市,114.026405-33.575855,44,1999-12-31 22:23:55,1999-12-31 22:23:55
107, 潍坊昌邑, 潍坊市,119.107078-36.70925,32,2003-02-28 20:13:17,2003-02-28 20:13:17
108, 濉溪铁佛镇, 淮北市,116.794664-33.971707,29,2003-05-11 00:45:50,2003-05-11 00:45:50
109, 焦作博爱, 焦作市,113.238266-35.23904,44,2011-10-02 12:16:36,2011-10-02 12:16:36
