"id","start_station","start_station_area_id","start_warehouse_id","end_station","end_station_area_id","end_warehouse_id","mileage_m","time_consumer_minute","state","cdt","udt","remark"
1,东莞中心,441900,1,临海杜桥,331000,4,1249059,54665,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
2,东莞中心,441900,1,京南转运中心,130600,5,2025899,85862,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
3,东莞中心,441900,1,佛山中心,440600,6,89263,5115,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
4,东莞中心,441900,1,六安,341500,7,1221325,51761,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
5,东莞中心,441900,1,六安独山,341500,8,1221325,51770,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
6,东莞中心,441900,1,兰州中转,620100,9,2335899,106796,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
7,东莞中心,441900,1,兴义黄草二分部,522300,10,1126573,48066,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
8,东莞中心,441900,1,兴义,522300,11,1126573,48066,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
9,东莞中心,441900,1,凯里榕江县,522600,12,903721,39863,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
10,东莞中心,441900,1,南京中转部,320100,13,1374378,57875,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
11,东莞中心,441900,1,南充中转站,511300,14,1549401,66221,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
12,东莞中心,441900,1,南宫垂杨,130500,15,1790183,76411,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
13,东莞中心,441900,1,南昌中转部,360100,16,795990,34036,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
14,东莞中心,441900,1,南海狮山,440600,17,89263,5081,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
15,东莞中心,441900,1,南通中转部,320600,18,1515862,65101,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
16,东莞中心,441900,1,南阳中转,411300,19,1338474,59664,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
17,东莞中心,441900,1,南阳石桥镇,411300,20,1338474,59658,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
18,东莞中心,441900,1,台州中转部,331000,21,1249059,54617,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
19,东莞中心,441900,1,合肥中转部,340100,22,1225579,50892,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
20,东莞中心,441900,1,吉安遂川县,360800,23,593824,26122,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
21,东莞中心,441900,1,吉林双辽,220300,24,2985428,148934,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
22,东莞中心,441900,1,吕梁临县,141100,25,1992671,88796,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
23,东莞中心,441900,1,启东,320600,26,1515862,65251,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
24,东莞中心,441900,1,周口太康县,411600,27,1393969,58628,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
25,东莞中心,441900,1,哈尔滨中转,230100,28,3410932,166307,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
26,东莞中心,441900,1,哈尔滨大成街,230100,29,3410932,166307,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
27,东莞中心,441900,1,唐山中心,130200,30,2246011,95065,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
28,东莞中心,441900,1,大丰,320900,31,1639948,66520,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
29,东莞中心,441900,1,大竹,511700,32,1472499,66278,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
30,东莞中心,441900,1,天津中转部,120100,33,2134070,89476,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
31,东莞中心,441900,1,天津海泰分部,120100,34,2134070,89476,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
32,东莞中心,441900,1,天津静海,120100,35,2134070,89476,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
33,东莞中心,441900,1,太原中转,140100,36,1905604,84214,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
34,东莞中心,441900,1,宁武凤凰镇,140900,37,1988815,87958,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
35,东莞中心,441900,1,宝鸡,610300,38,1881716,82375,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
36,东莞中心,441900,1,宝鸡陈仓一部,610300,39,1881716,82375,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
37,东莞中心,441900,1,常熟中通快递直营十,320500,40,1409267,61806,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
38,东莞中心,441900,1,常熟,320500,41,1409267,61806,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
39,东莞中心,441900,1,广州中心,440100,42,64817,3793,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
40,东莞中心,441900,1,广德,341800,43,1293294,53258,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
41,东莞中心,441900,1,开封半坡店乡,410200,44,1534780,64178,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
42,东莞中心,441900,1,开封县,410200,45,1534780,64110,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
43,东莞中心,441900,1,张家口万全县,130700,46,2286335,98555,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
44,东莞中心,441900,1,忻州宁武,140900,47,1988815,88023,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
45,东莞中心,441900,1,恩施来凤县,422800,48,1340872,61895,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
46,东莞中心,441900,1,成都中转,510100,49,1632675,68089,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
47,东莞中心,441900,1,成都龙泉驿,510100,50,1632675,68089,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
48,东莞中心,441900,1,承德隆化县,130800,51,2375744,125205,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
49,东莞中心,441900,1,抚州黎川县,361000,52,793631,33606,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
50,东莞中心,441900,1,新乡中转,410700,53,1577294,67835,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
51,东莞中心,441900,1,无锡中转部,320200,54,1456518,63324,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
52,东莞中心,441900,1,昌邑岞山镇,370700,55,1945122,81007,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
53,东莞中心,441900,1,曹县倪集乡,371700,56,1617291,67540,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
54,东莞中心,441900,1,枣阳太平镇,420600,57,1331916,62983,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
55,东莞中心,441900,1,枣阳,420600,58,1331916,62983,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
56,东莞中心,441900,1,武威,620600,59,2603650,117124,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
57,东莞中心,441900,1,武昌南湖二分部,420100,60,1044021,46788,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
58,东莞中心,441900,1,武汉中转部,420100,61,1044021,46788,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
59,东莞中心,441900,1,武汉藏龙岛,420100,62,1044021,46788,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
60,东莞中心,441900,1,毕节金沙,520500,63,1170679,50966,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
61,东莞中心,441900,1,永州,431100,64,522683,23690,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
62,东莞中心,441900,1,江油重华镇,510700,65,1646964,71241,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
63,东莞中心,441900,1,沧州东光,130900,66,2029715,84274,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
64,东莞中心,441900,1,沧州孟村县,130900,67,2029715,84337,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
65,东莞中心,441900,1,沧州黄骅市,130900,68,2029715,84280,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
66,东莞中心,441900,1,沧衡转运中心,130900,69,2029715,84280,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
67,东莞中心,441900,1,泰州中转部,321200,70,1526045,61945,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
68,东莞中心,441900,1,洪泽,320800,71,1543503,63412,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
69,东莞中心,441900,1,济南中转部,370100,72,1847535,76601,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
70,东莞中心,441900,1,济宁中转部,370800,73,1710251,69783,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
71,东莞中心,441900,1,海港北港镇,130300,74,2401450,121310,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
72,东莞中心,441900,1,淮北濉溪县,340600,75,1500731,61843,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
73,东莞中心,441900,1,淮安中转,320800,76,1543503,63412,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
74,东莞中心,441900,1,深圳中心,440300,77,77397,4574,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
75,东莞中心,441900,1,深圳富民,440300,78,77397,4578,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
76,东莞中心,441900,1,温岭泽国镇,331000,79,1249059,54679,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
77,东莞中心,441900,1,温州中转部,330300,80,1133688,48996,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
78,东莞中心,441900,1,温州瓯海西部,330300,81,1133688,48996,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
79,东莞中心,441900,1,漯河中转,411100,82,1374949,60503,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
80,东莞中心,441900,1,潍坊中转部,370700,83,1945122,80956,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
81,东莞中心,441900,1,潍坊昌邑,370700,84,1945122,80956,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
82,东莞中心,441900,1,潍坊青州,370700,85,1945122,80956,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
83,东莞中心,441900,1,濉溪铁佛镇,340600,86,1500731,61773,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
84,东莞中心,441900,1,焦作博爱,410800,87,1599962,69223,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
85,东莞中心,441900,1,瓯海巨溪南片,330300,88,1133688,49052,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
86,东莞中心,441900,1,甘孜康定县,513300,89,1805354,75960,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
87,东莞中心,441900,1,白城,220800,90,3194772,165538,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
88,东莞中心,441900,1,盘锦中转,211100,91,2673069,133088,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
89,东莞中心,441900,1,石家庄,130100,92,1901431,80420,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
90,东莞中心,441900,1,福安,350900,93,911697,39190,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
91,东莞中心,441900,1,福州中转,350100,94,825242,35994,1,2020-02-02 18:51:39,2020-02-02 18:51:39,
